Diputado	Distrito	Mandato	Inicia mandato	Finaliza mandato	Bloque
Agost Carreño, Oscar  	CORDOBA	2021-2025	08/23/23	12/09/25	ENCUENTRO FEDERAL
Aguirre, Manuel Ignacio  	CORRIENTES	2021-2025	12/10/21	12/09/25	DEMOCRACIA PARA SIEMPRE
Aguirre, Hilda  	LA RIOJA	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Ajmechet, Sabrina  	CIUDAD DE BUENOS AIRES	2021-2025	12/10/21	12/09/25	LA LIBERTAD AVANZA
Alí, Ernesto "Pipi"  	SAN LUIS	2023-2027	01/31/24	12/09/27	UNIÓN POR LA PATRIA
Alianiello, Eugenia  	CHUBUT	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Allende, Walberto  	SAN JUAN	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Almirón, Lisandro  	CORRIENTES	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Alonso, Constanza María  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Ansaloni, Pablo  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Antola, Marcela  	ENTRE RIOS	2021-2025	12/10/21	12/09/25	DEMOCRACIA PARA SIEMPRE
Arabia, Damián  	CIUDAD DE BUENOS AIRES	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Arancibia Rodríguez, Alberto Gustavo  	SAN LUIS	2021-2025	11/02/23	12/09/25	LA LIBERTAD AVANZA
Araujo, María Fernanda  	CIUDAD DE BUENOS AIRES	2021-2025	12/07/23	12/09/25	LA LIBERTAD AVANZA
Araujo Hernández, Jorge Neri  	TIERRA DEL FUEGO	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Ardohain, Martín  	LA PAMPA	2023-2027	12/10/23	12/09/27	PRO
Arjol, Martín  	MISIONES	2021-2025	12/10/21	12/09/25	LIGA DEL INTERIOR ELI
Arrieta, Lourdes Micaela  	MENDOZA	2023-2027	12/10/23	12/09/27	COHERENCIA
Arroyo, Daniel  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Arrúa, Alberto  	MISIONES	2023-2027	12/10/23	12/09/27	INNOVACIÓN FEDERAL
Aubone, Ana Fabiola  	SAN JUAN	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Aveiro, Martín  	MENDOZA	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Avico, Belén  	CORDOBA	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Avila, Fernanda  	CATAMARCA	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Avila, Jorge Antonio  	CHUBUT	2023-2027	12/10/23	12/09/27	ENCUENTRO FEDERAL
Bachey, Karina Ethel  	SAN LUIS	2021-2025	12/10/21	12/09/25	PRO
Baldassi, Héctor W.  	CORDOBA	2021-2025	12/10/21	12/09/25	PRO
Ballejos, Nancy  	ENTRE RIOS	2021-2025	09/11/24	12/09/25	PRO
Banfi, Karina  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	UCR - UNIÓN CÍVICA RADICAL
Barletta, Mario  	SANTA FE	2021-2025	12/10/21	12/09/25	UNIDOS
Basterra, Luis Eugenio  	FORMOSA	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Benedetti, Atilio  	ENTRE RIOS	2021-2025	07/05/23	12/09/25	UCR - UNIÓN CÍVICA RADICAL
Benedit, Beltrán  	ENTRE RIOS	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Benegas Lynch, Bertie  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Bermejo, Adolfo  	MENDOZA	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Bertoldi, Tanya  	NEUQUEN	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Besana, Gabriela  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	PRO
Bianchetti, Emmanuel  	MISIONES	2023-2027	12/10/23	12/09/27	PRO
Bonacci, Rocío  	SANTA FE	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Bongiovanni, Alejandro  	SANTA FE	2023-2027	12/10/23	12/09/27	PRO
Bordet, Gustavo  	ENTRE RIOS	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Bornoroni, Gabriel  	CORDOBA	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Borrego, Victoria  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	COALICION CIVICA
Brambilla, Sofía  	CORRIENTES	2021-2025	12/10/21	12/09/25	PRO
Brouwer De Koning, Gabriela  	CORDOBA	2021-2025	12/10/21	12/09/25	UCR - UNIÓN CÍVICA RADICAL
Brügge, Juan Fernando  	CORDOBA	2023-2027	12/10/23	12/09/27	ENCUENTRO FEDERAL
Cafiero, Santiago  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Calletti, Pamela  	SALTA	2021-2025	12/10/21	12/09/25	INNOVACIÓN FEDERAL
Campagnoli, Marcela  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	COALICION CIVICA
Campero, Mariano  	TUCUMAN	2023-2027	12/10/23	12/09/27	LIGA DEL INTERIOR ELI
Campitelli, Celia  	SANTIAGO DEL ESTERO	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Capozzi, Sergio Eduardo  	RIO NEGRO	2023-2027	12/10/23	12/09/27	PRO
Carbajal, Fernando  	FORMOSA	2021-2025	12/10/21	12/09/25	DEMOCRACIA PARA SIEMPRE
Carignano, Florencia  	SANTA FE	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Carrizo, Soledad  	CORDOBA	2021-2025	12/10/21	12/09/25	UCR - UNIÓN CÍVICA RADICAL
Carrizo, Ana Carla  	CIUDAD DE BUENOS AIRES	2021-2025	12/10/21	12/09/25	DEMOCRACIA PARA SIEMPRE
Carro, Pablo  	CORDOBA	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Casas, Sergio Guillermo  	LA RIOJA	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Castagneto, Carlos Daniel  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Castillo, Christian  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	PTS-FRENTE DE IZQUIERDA UNIDAD
Cervi, Pablo  	NEUQUEN	2021-2025	12/10/21	12/09/25	LIGA DEL INTERIOR ELI
Chaher, Leila  	JUJUY	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Chica, Jorge  	SAN JUAN	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Chomiak, María Luisa  	CHACO	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Chumpitaz, Gabriel Felipe  	SANTA FE	2021-2025	12/10/21	12/09/25	FUTURO Y LIBERTAD
Cipolini, Gerardo  	CHACO	2023-2027	12/10/23	12/09/27	UCR - UNIÓN CÍVICA RADICAL
Cisneros, Carlos  	TUCUMAN	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Cobos, Julio  	MENDOZA	2021-2025	12/10/21	12/09/25	UCR - UNIÓN CÍVICA RADICAL
Coletta, Mariela  	CIUDAD DE BUENOS AIRES	2023-2027	12/10/23	12/09/27	DEMOCRACIA PARA SIEMPRE
Coli, Marcela  	LA PAMPA	2021-2025	12/10/21	12/09/25	DEMOCRACIA PARA SIEMPRE
Correa Llano, Facundo  	MENDOZA	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
D'Alessandro, Carlos  	SAN LUIS	2023-2027	12/10/23	12/09/27	COHERENCIA
Daives, Ricardo  	SANTIAGO DEL ESTERO	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
de la Sota, Natalia  	CORDOBA	2021-2025	12/10/21	12/09/25	DEFENDAMOS CÓRDOBA
de Loredo, Rodrigo  	CORDOBA	2021-2025	12/10/21	12/09/25	UCR - UNIÓN CÍVICA RADICAL
de Mendieta, Mercedes  	CIUDAD DE BUENOS AIRES	2021-2025	07/02/25	12/09/25	IZQUIERDA SOCIALISTA FIT-UNIDAD
De Sensi, María Florencia  	BUENOS AIRES	2021-2025	12/10/23	12/09/25	PRO
Diez, Romina  	SANTA FE	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Domingo, Agustín  	RIO NEGRO	2021-2025	12/10/21	12/09/25	INNOVACIÓN FEDERAL
Emma, Nicolás  	CIUDAD DE BUENOS AIRES	2021-2025	12/07/23	12/09/25	LA LIBERTAD AVANZA
Espert, José Luis  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	LA LIBERTAD AVANZA
Estévez, Gabriela Beatriz  	CORDOBA	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Estrada, Emiliano  	SALTA	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Falcone, Eduardo  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	MID - MOVIMIENTO DE INTEGRACIÓN Y DESARROLLO
Fein, Mónica  	SANTA FE	2021-2025	12/10/21	12/09/25	ENCUENTRO FEDERAL
Fernández, Carlos Alberto  	MISIONES	2021-2025	12/16/21	12/09/25	INNOVACIÓN FEDERAL
Fernández, Agustin  	TUCUMAN	2021-2025	12/10/21	12/09/25	INDEPENDENCIA
Fernández, Elia Marina  	TUCUMAN	2021-2025	11/02/23	12/09/25	INDEPENDENCIA
Fernández Molero, Daiana  	CIUDAD DE BUENOS AIRES	2023-2027	12/10/23	12/09/27	PRO
Fernández Patri, Ramiro  	FORMOSA	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Ferraro, Maximiliano  	CIUDAD DE BUENOS AIRES	2023-2027	12/10/23	12/09/27	COALICION CIVICA
Ferreyra, Alida  	CIUDAD DE BUENOS AIRES	2023-2027	01/31/24	12/09/27	LA LIBERTAD AVANZA
Figueroa Casas, Germana  	SANTA FE	2021-2025	12/10/21	12/09/25	PRO
Finocchiaro, Alejandro  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	PRO
Frade, Mónica  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	COALICION CIVICA
Freites, Andrea  	TIERRA DEL FUEGO	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Gaillard, Ana Carolina  	ENTRE RIOS	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
García, Carlos  	CHACO	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
García Aresca, Ignacio  	CORDOBA	2021-2025	12/10/21	12/09/25	ENCUENTRO FEDERAL
Garramuño, Ricardo  	TIERRA DEL FUEGO	2021-2025	02/06/25	12/09/25	SOMOS FUEGUINOS
Garrido, José Luis  	SANTA CRUZ	2023-2027	12/10/23	12/09/27	POR SANTA CRUZ
Ginocchio, Silvana Micaela  	CATAMARCA	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Giordano, Juan Carlos  	BUENOS AIRES	2021-2025	07/02/25	12/09/25	IZQUIERDA SOCIALISTA FIT-UNIDAD
Giorgi, Melina  	SANTA FE	2021-2025	12/07/23	12/09/25	DEMOCRACIA PARA SIEMPRE
Giudici, Silvana  	CIUDAD DE BUENOS AIRES	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Giuliano, Diego A.  	SANTA FE	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Glinski, José  	CHUBUT	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Gollán, Daniel  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Gomez, José  	SANTIAGO DEL ESTERO	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
González, Gustavo Carlos Miguel  	SANTA CRUZ	2021-2025	12/16/21	12/09/25	UNIÓN POR LA PATRIA
González, Álvaro  	CIUDAD DE BUENOS AIRES	2023-2027	12/10/23	12/09/27	PRO
González, Gerardo Gustavo  	FORMOSA	2023-2027	12/10/23	12/09/27	COHERENCIA
Gutiérrez, Ramiro  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Gutiérrez, Carlos  	CORDOBA	2023-2027	12/10/23	12/09/27	ENCUENTRO FEDERAL
Hagman, Itai  	CIUDAD DE BUENOS AIRES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Heller, Carlos  	CIUDAD DE BUENOS AIRES	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Herrera, Ricardo  	LA RIOJA	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Herrera, Bernardo José  	SANTIAGO DEL ESTERO	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Huesen, Gerardo  	TUCUMAN	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Ianni, Ana María  	SANTA CRUZ	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Ibañez, María Cecilia  	CORDOBA	2023-2027	12/10/23	12/09/27	LA LIBERTAD AVANZA
Iglesias, Fernando Adolfo  	CIUDAD DE BUENOS AIRES	2021-2025	12/10/21	12/09/25	PRO
Iparraguirre, Rogelio  	BUENOS AIRES	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
Juliano, Pablo  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	DEMOCRACIA PARA SIEMPRE
Kirchner, Máximo Carlos  	BUENOS AIRES	2023-2027	12/10/23	12/09/27	UNIÓN POR LA PATRIA
Klipauka Lewtak, Florencia  	MISIONES	2021-2025	12/10/21	12/09/25	LA LIBERTAD AVANZA
Laspina, Luciano Andrés  	SANTA FE	2021-2025	12/10/21	12/09/25	PRO
Ledesma, Tomás  	ENTRE RIOS	2021-2025	12/10/21	12/09/25	UNIÓN POR LA PATRIA
