DIPUTADO	BLOQUE	BLOQUE (historico)	PROVINCIA	141-14-1	141-15-5	0142-03-02	142-3-38	0142-05-07	0142-06-01	0142-08-20	0142-09-01	0142-11-01	142-13-1	142-22-10	0143-02-03	0143-04-01	0143-09-01	0143-09-05	0143-09-06	0143-09-13	0143-11-01	0143-11-05	0143-11-10	0143-11-11	0143-11-12	0143-11-13	0143-11-14	0143-12-02	0143-12-04	0143-12-05	0143-12-06	143-14-3	143-14-4	143-15-1	143-15-4
ACEVEDO, SERGIO EDGARDO → PRADES, C. FACUNDO	POR SANTA CRUZ		SANTA CRUZ	NEGATIVO	NEGATIVO	AUSENTE	ABSTENCION	AFIRMATIVO	ABSTENCION	AFIRMATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO
BREGMAN, MYRIAM → BIASI, VANINA → DE MENDIETA, MERCEDES	IZQUIERDA SOCIALISTA FIT UNIDAD	FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD → PARTIDO OBRERO  FRENTE DE IZQUIERDA Y DE TRABAJADORES  UNIDAD → IZQUIERDA SOCIALISTA FIT UNIDAD	C.A.B.A.	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	ABSTENCION	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	ABSTENCION	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO
DEL PLA, ROMINA → SCHLOTTHAUER, MONICA LETICIA → RIPOLL, VILMA	MST   FRENTE DE IZQUIERDA Y TRABAJADORES UNIDAD	FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD → PARTIDO OBRERO  FRENTE DE IZQUIERDA Y DE TRABAJADORES  UNIDAD → MST   FRENTE DE IZQUIERDA Y TRABAJADORES UNIDAD	BUENOS AIRES	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	ABSTENCION	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	ABSTENCION	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO
VALLEJOS, ALFREDO → TOURNIER, JOSE FEDERICO	LIGA DEL INTERIOR ELI	UCR   UNION CIVICA RADICAL → LIGA DEL INTERIOR ELI	CORRIENTES	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AUSENTE	NEGATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO
GALIMBERTI, PEDRO JORGE → BALLEJOS, NANCY	PRO	UCR   UNION CIVICA RADICAL → PRO	ENTRE RÍOS	AFIRMATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AUSENTE	NEGATIVO	NEGATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO
STEFANI, HECTOR ANTONIO → GARRAMUÑO, RICARDO	SOMOS FUEGUINOS	PRO → SOMOS FUEGUINOS	TIERRA DEL FUEGO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO
LOMBARDI, HERNAN → SANCHEZ WRBA, JAVIER	PRO		BUENOS AIRES	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AUSENTE	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO
DEL CAÑO, NICOLAS → GIORDANO, JUAN CARLOS	IZQUIERDA SOCIALISTA FIT UNIDAD	PTS FRENTE DE IZQUIERDA UNIDAD → IZQUIERDA SOCIALISTA FIT UNIDAD	BUENOS AIRES	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	ABSTENCION	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	ABSTENCION	AFIRMATIVO	AUSENTE	AUSENTE	AFIRMATIVO	AFIRMATIVO
AGOST CARREÑO, OSCAR	ENCUENTRO FEDERAL	HACEMOS COALICION FEDERAL → ENCUENTRO FEDERAL	CÓRDOBA	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	ABSTENCION	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO
AGUIRRE, HILDA	UNION POR LA PATRIA		LA RIOJA	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO
AGUIRRE, MANUEL IGNACIO	DEMOCRACIA PARA SIEMPRE	UCR   UNION CIVICA RADICAL → DEMOCRACIA PARA SIEMPRE	CORRIENTES	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AFIRMATIVO	AFIRMATIVO	AUSENTE	AUSENTE
AJMECHET, SABRINA	PRO		C.A.B.A.	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AUSENTE	AUSENTE	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	NEGATIVO	NEGATIVO	NEGATIVO	AUSENTE	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO
ALI, ERNESTO "PIPI"	UNION POR LA PATRIA		SAN LUIS	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO
ALIANIELLO, EUGENIA	UNION POR LA PATRIA		CHUBUT	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO
ALLENDE, WALBERTO	UNION POR LA PATRIA		SAN JUAN	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AUSENTE	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO
ALMIRON, LISANDRO	LA LIBERTAD AVANZA		CORRIENTES	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO
ALONSO, CONSTANZA MARIA	UNION POR LA PATRIA		BUENOS AIRES	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO
ANSALONI, PABLO	LA LIBERTAD AVANZA		BUENOS AIRES	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO
ANTOLA, MARCELA	DEMOCRACIA PARA SIEMPRE	UCR   UNION CIVICA RADICAL → DEMOCRACIA PARA SIEMPRE	ENTRE RÍOS	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	ABSTENCION	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AFIRMATIVO	ABSTENCION	NEGATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AUSENTE	AUSENTE
ARABIA, DAMIAN	PRO		C.A.B.A.	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AUSENTE	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO
ARANCIBIA RODRIGUEZ, ALBERTO GUSTAVO	LA LIBERTAD AVANZA		SAN LUIS	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AUSENTE	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	NEGATIVO	NEGATIVO	NEGATIVO	AUSENTE	AUSENTE	NEGATIVO	NEGATIVO
ARAUJO HERNANDEZ, JORGE NERI	UNION POR LA PATRIA		TIERRA DEL FUEGO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO
ARAUJO, MARIA FERNANDA	LA LIBERTAD AVANZA		C.A.B.A.	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO
ARDOHAIN, MARTIN	PRO		LA PAMPA	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	ABSTENCION	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO
ARJOL, MARTIN	LIGA DEL INTERIOR ELI	UCR   UNION CIVICA RADICAL → LIGA DEL INTERIOR ELI	MISIONES	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	NEGATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	NEGATIVO	NEGATIVO	AUSENTE	AUSENTE	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO
ARRIETA, LOURDES MICAELA	COHERENCIA	LA LIBERTAD AVANZA → … → COHERENCIA	MENDOZA	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	ABSTENCION	AFIRMATIVO	AFIRMATIVO	ABSTENCION	ABSTENCION	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO
ARROYO, DANIEL	UNION POR LA PATRIA		BUENOS AIRES	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO
ARRUA, ALBERTO	INNOVACION FEDERAL		MISIONES	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	ABSTENCION	ABSTENCION	ABSTENCION	AFIRMATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AFIRMATIVO	ABSTENCION	AFIRMATIVO	ABSTENCION	AFIRMATIVO	AFIRMATIVO	ABSTENCION	ABSTENCION
AUBONE, ANA FABIOLA	UNION POR LA PATRIA		SAN JUAN	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO
AVEIRO, MARTIN	UNION POR LA PATRIA		MENDOZA	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO
AVICO, BELEN	PRO		CÓRDOBA	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AUSENTE	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AUSENTE	AUSENTE	NEGATIVO	NEGATIVO
AVILA, FERNANDA	UNION POR LA PATRIA		CATAMARCA	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AUSENTE	NEGATIVO	AUSENTE	AFIRMATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AFIRMATIVO	AFIRMATIVO
AVILA, JORGE ANTONIO	ENCUENTRO FEDERAL	HACEMOS COALICION FEDERAL → ENCUENTRO FEDERAL	CHUBUT	AUSENTE	AFIRMATIVO	AFIRMATIVO	ABSTENCION	AUSENTE	AFIRMATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AFIRMATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AFIRMATIVO	ABSTENCION	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	ABSTENCION	AFIRMATIVO	AFIRMATIVO	ABSTENCION	NEGATIVO
BACHEY, KARINA ETHEL	PRO		SAN LUIS	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AUSENTE	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	ABSTENCION	AUSENTE	ABSTENCION	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	ABSTENCION	NEGATIVO	NEGATIVO	NEGATIVO
