Localidad	Derivado	Boca de expendio	Dirección	Bandera	Precio sin impuesto	Precio final	Volumen informado (m3)	lon	lat
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	OPESSA	AV.FRANCISCO BEIRÓ 5804	YPF	1167.79	1662	270.46	-58.529038	-34.617025
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	FUENTE DE PETRÓLEO S.A.	AV.ALVAREZ JONTE 2695	YPF	1089.95	1631	202.14	-58.520333	-34.633066
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	PROYECTOS SUSTENTABLES S.A.	LISANDRO DE LA TORRE 2179	YPF	1058	1663	178.75	-58.517993	-34.648891
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	SUCESORES DE LOPEZ ALDAO Y CIA. S.R. L.	AV. SAN MARTI­N 7001	YPF	1120.28	1662	278.33	-58.512542	-34.591011
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	MAURER & GRUMELLI S.R.L.	MIRANDA 5317	YPF	1066.81	1631	401.83	-58.509658	-34.626196
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	ANALIA SUSANA MARTINEZ	AV. LARRAZABAL 801	YPF	1030.97	1663	49	-58.507598	-34.647110
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	OPESSA	AV DE LOS CONSTITUYENTES 6070	YPF	1167.79	1662	402.44	-58.506478	-34.571669
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	AUTOMOVIL CLUB ARGENTINO	FRANCISCO BEIRO 3561	YPF	1068.49	1640	318.03	-58.503073	-34.600218
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	ALBERDI GAS S.A.	AV. JUAN BAUTISTA ALBERDI 5628	YPF	1089.14	1663	149.58	-58.500685	-34.650108
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	GASPARQUE S.A.	AV. DR. RICARDO BALBIN 5041	YPF	1096.31	1662	326.85	-58.499335	-34.550830
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	CORRO NORTE S.A	CORRO 501	YPF	1334.54	1631	188.14	-58.498321	-34.632928
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	GOPA S.A.	NOGOYA 3641	YPF	1096.31	1633	104.91	-58.498076	-34.606365
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	ESTACION DE SERVICIO NORTEÑA SRL	Av Ricardo Balbin 4491	YPF	991.52	1662	477.23	-58.495762	-34.555027
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	PANAMERICANA SRL	AV. SAN MARTIN 5316	YPF	1075.78	1640	252.02	-58.493246	-34.597416
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	DESTINATUM S.A.	Av Eva Peron 6102	YPF	1092.76	1663	70.57	-58.491001	-34.665425
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	JONTE 3386 SRL	JONTE 3386	YPF	1334.54	1631	263.03	-58.489853	-34.611327
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	ESTACIÓN DE SERVICIO SAAVEDRA S.R.L.	CRISÓLOGO LARRALDE 4688	YPF	1306	1666	165.45	-58.488821	-34.560037
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	SOLMAY S.R.L	AV. JUAN BAUTISTA ALBERDI 4402	YPF	1068.12	1645	115.22	-58.487822	-34.641428
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	OPESSA	AV DIRECTORIO 4311	YPF	1151.54	1643	261.57	-58.484806	-34.645317
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	GARAGE Y EST.DE SERV.EL PROGRESO S.A.	AV. OLIVERA 1136	YPF	1121	1663	72	-58.482164	-34.651258
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	LE BRETON S.R.L.	CONGRESO 4008	YPF	1093.81	1662	184.79	-58.479546	-34.564359
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	ESTACION DE SERVICIOS AVALOS S.A.	AV.DE LOS INCAS 4801	YPF	1048.99	1640	304.87	-58.478274	-34.583902
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	RIVAGAS S.A.	AV. RIVADAVIA 8101	YPF	1065.07	1645	103.55	-58.477985	-34.632768
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	NAFPUR S.A.	Larrazabal 3645	YPF	1098.07	1665	267.2	-58.476165	-34.673438
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	SERVICES NAON SRL	OLAZABAL 3690	YPF	1093.73	1630	159.61	-58.471594	-34.568418
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	AUTOMOVIL CLUB ARGENTINO	AV.RIVADAVIA 7530	YPF	1067.12	1645	338.14	-58.471525	-34.631363
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	OPESSA	AV. CABILDO 4108	YPF	1168.64	1663	404.12	-58.470848	-34.545976
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	CALITRI FILOMENA LUCIA Y NIETO HORACIO ALFREDO	AVDA ESCALADA 2951	YPF	1068.86	1660	204.79	-58.469684	-34.665138
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	OPESSA	AV CABILDO 3501	YPF	1168.64	1663	369.33	-58.466825	-34.550322
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	NUESTRO SOSIEGO SA	DONATO ALVAREZ 2290	YPF	1066.34	1631	186.75	-58.466411	-34.600125
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	TERGEN SRL	Directorio 2578	YPF	1061.91	1643	337.99	-58.463077	-34.634309
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	SUPER SERVICIOS S.A.	EUSTAQUIO CAMBIESES 1780	YPF	987.25	1643	111.87	-58.461411	-34.649965
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	BOYACA C.I.S.A.	AV.ELCANO 4000	YPF	1102.09	1640	160.25	-58.460300	-34.582775
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	PROODOS SA	AV. JUAN B. JUSTO 5315	YPF	1065.53	1631	334.83	-58.456663	-34.603327
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	DARSISA S.A.	AV. JUAN B. JUSTO 7099	YPF	500.28	1186	308.35	-58.456663	-34.603327
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	UBR S.A.	Avda Juan B Justo 3508	YPF	1062.78	1631	213.31	-58.456663	-34.603327
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	OPESSA	Av. Juan B. JUSTO 1215	YPF	1168.64	1663	370.32	-58.456663	-34.603327
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	SUPER SERVICIOS SA	AV AVELLANEDA 1628	YPF	986.37	1631	233.52	-58.454282	-34.620701
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	ROBERTO OTERO Y JAVIER LOPEZ SH	Av Rivadavia 6045	YPF	1069.86	1643	149.72	-58.450533	-34.624107
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	AUTOMOVIL CLUB ARGENTINO	AV. CABILDO 1499	YPF	1096.04	1663	321.62	-58.450261	-34.566780
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	UNENS S.R.L.	ESPINOSA 605	YPF	1008.21	1631	180.59	-58.448992	-34.615603
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	OPESSA ACA CABALLITO	AV GAONA 1204	YPF	1141.29	1631	472.44	-58.446811	-34.608196
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	OPESSA	AV CORDOBA 5984	YPF	1168.64	1663	319.25	-58.444504	-34.584817
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	KLIVE S.A.	COLPAYO 406	YPF	1065.05	1631	125.54	-58.442099	-34.615803
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	NOCEDA S.A.	Warnes 236	YPF	1024.62	1633	135.23	-58.440625	-34.603098
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	ROBERTO OTERO Y JAVIER LOPEZ SH	AV DIRECTORIO 802	YPF	1069.86	1643	286.95	-58.438732	-34.628864
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	SUPER SERVICIOS S.A.	AV. LIBERTADOR 5002	YPF	1013.59	1663	398.3	-58.437085	-34.563775
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	RIO DE JANEIRO SA.	RIO DE JANEIRO 464	YPF	1067.85	1631	139.91	-58.430520	-34.609947
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	RERIFE S.A.	AV. JUAN BAUTISTA ALBERDI 100	YPF	1070.47	1643	408.5	-58.429055	-34.622372
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	OPESSA	AV DIAZ VELEZ 4373	YPF	1141.29	1631	535.7	-58.428713	-34.608624
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	NAFPUR XXI SA.	Zelarrayan 5530	YPF	1093.09	1663	299.39	-58.428297	-34.639926
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	PROINCO SA	AV. LA PLATA 901	YPF	1008.94	1643	268.72	-58.427058	-34.626264
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	OPESSA	AV CORDOBA 4201	YPF	1168.64	1663	351.54	-58.426312	-34.596155
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	AUTOMOVIL CLUB ARGENTINO	godoy cruz 3151	YPF	1095.77	1663	482.78	-58.421383	-34.574079
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	OPESSA ACA ONCE	AV RIVADAVIA 3341	YPF	1141.29	1631	394.69	-58.413697	-34.610554
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	PETROLFE S.A.	Av.San Juan 2901	YPF	1049.34	1643	299.29	-58.405955	-34.624095
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	INCAT S.R.L.	AV. INDEPENDENCIA 2701	YPF	1067.92	1643	566.76	-58.403879	-34.618601
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	HUACALERA SRL	Av. Juan de Garay 2780	YPF	1067.49	1643	239.68	-58.403184	-34.629047
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	AUTOMOVIL CLUB ARGENTINO	AV.DEL LIBERTADOR 1850	YPF	1095.41	1663	502.61	-58.400156	-34.582938
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	MADRO S.A.	AV. AMANCIO ALCORTA 2711	YPF	1016.91	1643	93.86	-58.399468	-34.644060
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	SERVINORTE S.A.	PARAGUAY 1676	YPF	1095.83	1642	522.11	-58.390866	-34.598628
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	SAN JUAN Y SOLIS ALVAREZ Y DI LEVA S.A.	AV. SAN JUAN 1701	YPF	1068.18	1643	444.67	-58.390027	-34.622519
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	AUTOMOVIL CLUB ARGENTINO	Av. Montes de Oca 490	YPF	1067.29	1645	337.33	-58.375399	-34.633994
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	RED PETROL S.A.	AV.CNEL ROCA 6787	YPF	1104.01	1663	341.22	-58.468546	-34.696288
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	OPESSA ACA AUTODROMO	Av. Coronel Roca 4550	YPF	1168.64	1663	297.58	-58.450327	-34.680735
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	GASOLEO S.A.	Av. Juan B. Alberdi 7500	YPF	1087.78	1663	245.1	-58.517071	-34.662187
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	OPESSA	Av VELEZ SARFIELD 850	YPF	1151.54	1643	352.11	-58.389199	-34.645117
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	SERVICIO ESCALADA S.A.	Av. Escalada 678	YPF	1069.96	1660	233.34	-58.496310	-34.643894
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	PSF UNISERVICIOS S.R.L	Av. José María Moreno 1483	YPF	1078.75	1643	265.54	-58.432554	-34.636022
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	LA QUINTA ESTACION S.R.L.	AV.GRAL.MOSCONI 3289	YPF	1079.03	1662	323.71	-58.507462	-34.589280
CAPITAL FEDERAL	Nafta (súper) entre 92 y 95 Ron	OPESSA	Av. Pres. Figueroa Alcorta 6608	YPF	1168.64	1663	619.2	-58.437303	-34.551504
